timestamp,close,high,low,trade_count,open,volume,vwap
2025-02-20 05:00:00+00:00,354.44,362.3,348.03,8452,361.7,433006,352.823032
2025-02-21 05:00:00+00:00,337.66,354.92,334.485,14279,353.31,831385,340.384301
2025-02-24 05:00:00+00:00,330.765,342.3,324.71,10409,338.0,606496,333.594215
2025-02-25 05:00:00+00:00,302.76,327.42,297.325,31381,327.04,1946906,305.315954
2025-02-26 05:00:00+00:00,290.615,308.945,288.085,16992,303.7,1013763,296.848078
2025-02-27 05:00:00+00:00,281.97,297.18,280.92,20848,290.71,1432360,288.123467
2025-02-28 05:00:00+00:00,293.27,293.585,273.64,21302,279.46,1329913,287.061968
2025-03-03 05:00:00+00:00,284.81,303.89,277.4,21433,300.585,1470188,290.91644
2025-03-04 05:00:00+00:00,271.83,284.23,261.935,24532,270.86,1590276,271.356882
2025-03-05 05:00:00+00:00,279.27,279.54,267.81,15462,272.93,979345,273.578625
2025-03-06 05:00:00+00:00,263.44,272.43,260.09,16325,272.005,1111695,265.220751
2025-03-07 05:00:00+00:00,262.6,266.125,250.74,18929,259.46,1306030,259.750542
2025-03-10 04:00:00+00:00,222.09,253.34,220.225,32838,252.49,2861222,233.697657
2025-03-11 04:00:00+00:00,230.55,237.0,218.17,31657,225.23,2559092,229.813369
2025-03-12 04:00:00+00:00,248.145,251.81,241.12,25020,247.35,1905319,247.218832
2025-03-13 04:00:00+00:00,240.68,248.205,232.6,18847,248.205,1210438,238.515309
2025-03-14 04:00:00+00:00,249.92,251.56,240.75,12134,247.31,870363,246.943863
